parent_label,label,video_path,include_50
Colours,50. Yellow,Colours/50. Yellow/MVI_5194.MOV,False
Clothes,43. Pant,Clothes/43. Pant/MVI_3709.MOV,False
Jobs,99. Job,Jobs/99. Job/MVI_4796.MOV,False
Jobs,91. Priest,Jobs/91. Priest/MVI_5345.MOV,False
Adjectives,96. wet,Adjectives/96. wet/MVI_5246.MOV,False
Home,33. Pencil,Home/33. Pencil/MVI_8786.MP4,False
Places,23. Court,Places/23. Court/MVI_3531.MOV,False
Days_and_Time,77. Month,Days_and_Time/77. Month/MVI_5045.MOV,False
Electronics,59. Television,Electronics/59. Television/MVI_4557.MOV,False
Days_and_Time,72. Saturday,Days_and_Time/72. Saturday/MVI_9159.MP4,False
Society,12. Peace,Society/12. Peace/MVI_8960.MP4,False
Home,48. Card,Home/48. Card/MVI_4446.MOV,False
Seasons,62. Spring,Seasons/62. Spring/MVI_5425.MOV,False
Places,26. University,Places/26. University/MVI_3376.MOV,False
Places,35. Bank,Places/26. University/MVI_3376.MOV,False
Places,34. Ground,Places/34. Ground/MVI_3579.MOV,False
Animals,1. Dog,Animals/1. Dog/MVI_3030.MOV,False
Adjectives,3. happy,Adjectives/3. happy/MVI_9297.MOV,False
Society,20. Price,Society/20. Price/MVI_8986.MP4,False
People,74. Queen,People/74. Queen/MVI_4101.MOV,False
People,70. Grandmother,People/70. Grandmother/MVI_4087.MOV,False
Places,29. Library,Places/29. Library/MVI_3477.MOV,False
Adjectives,89. warm,Adjectives/89. warm/MVI_5141.MOV,False
Adjectives,89. warm,Adjectives/89. warm/MVI_9495.MOV,False
People,59. Daughter,People/59. Daughter/MVI_4934.MOV,False
Places,26. University,Places/26. University/MVI_3625.MOV,False
Adjectives,81. wide,Adjectives/81. wide/MVI_9390.MOV,False
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9452.MOV,False
People,72. Wife,People/72. Wife/MVI_5265.MOV,False
Days_and_Time,70. Thursday,Days_and_Time/70. Thursday/MVI_4606.MOV,False
Days_and_Time,75. Yesterday,Days_and_Time/75. Yesterday/MVI_5037.MOV,False
Days_and_Time,76. Week,Days_and_Time/76. Week/MVI_4627.MOV,False
Home,39. Key,Home/39. Key/MVI_4408.MOV,False
Adjectives,30. dirty,Adjectives/30. dirty/MVI_9813.MOV,False
Places,29. Library,Places/29. Library/MVI_3479.MOV,False
Days_and_Time,74. Tomorrow,Days_and_Time/74. Tomorrow/MVI_4619.MOV,False
Adjectives,32. weak,Adjectives/32. weak/MVI_9695.MOV,False
Home,38. Page,Home/38. Page/MVI_4407.MOV,False
Adjectives,11. rich,Adjectives/11. rich/MVI_9599.MOV,False
Colours,47. Red,Colours/47. Red/MVI_4897.MOV,False
Home,38. Page,Home/38. Page/MVI_8809.MP4,False
Animals,4. Bird,Home/38. Page/MVI_8809.MP4,False
Electronics,53. Fan,Electronics/53. Fan/MVI_4534.MOV,False
Colours,51. Brown,Colours/51. Brown/MVI_5199.MOV,False
Places,31. Temple,Places/31. Temple/MVI_3565.MOV,False
People,67. Sister,People/67. Sister/MVI_3785.MOV,False
Animals,2. Cat,Animals/2. Cat/MVI_3090.MOV,False
Days_and_Time,66. Sunday,Days_and_Time/66. Sunday/MVI_5442.MOV,False
Means_of_Transportation,13. Bicycle,Means_of_Transportation/13. Bicycle/MVI_8588.MP4,False
Society,7. Team,Society/7. Team/MVI_8683.MP4,False
Home,29. Door,Home/29. Door/MVI_4367.MOV,False
Jobs,89. Waiter,Jobs/89. Waiter/MVI_4763.MOV,False
Animals,4. Bird,Animals/4. Bird/MVI_8568.MP4,False
People,65. Woman,People/65. Woman/MVI_5092.MOV,False
Society,17. Sport,Society/17. Sport/MVI_8978.MP4,False
People,61. Father,People/61. Father/MVI_4940.MOV,False
Clothes,41. Shirt,Clothes/41. Shirt/MVI_3847.MOV,False
Adjectives,80. tall,Adjectives/80. tall/MVI_9387.MOV,False
Pronouns,47. they,Pronouns/47. they/MVI_0027.MOV,False
Pronouns,45. we,Pronouns/45. we/MVI_9903.MOV,False
Places,32. Market,Places/32. Market/MVI_3406.MOV,False
Adjectives,35. heavy,Adjectives/35. heavy/MVI_9707.MOV,False
Clothes,39. Suit,Clothes/39. Suit/MVI_3841.MOV,False
Adjectives,88. cold,Adjectives/88. cold/MVI_9250.MOV,False
Adjectives,13. thick,Adjectives/13. thick/MVI_9608.MOV,False
Days_and_Time,83. Afternoon,Days_and_Time/83. Afternoon/MVI_9192.MP4,False
Means_of_Transportation,12. Truck,Means_of_Transportation/12. Truck/MVI_3149.MOV,False
People,67. Sister,People/67. Sister/MVI_8632.MP4,False
Places,32. Market,Places/32. Market/MVI_3324.MOV,False
Home,41. Letter,Home/41. Letter/MVI_9056.MP4,False
Jobs,98. Actor,Jobs/98. Actor/MVI_4516.MOV,False
Society,16. Gun,Society/16. Gun/MVI_4313.MOV,False
